game_date,ssn_comp_game_no
2022-07-30,1
2022-08-06,2
2022-08-13,3
2022-08-16,4
2022-08-20,5
2022-08-27,6
2022-09-03,7
2022-09-09,8
2022-09-13,9
2022-09-17,10
2022-09-24,11
2022-10-01,12
2022-10-08,13
2022-10-14,14
2022-10-22,15
2022-10-25,16
2022-10-29,17
2022-11-12,18
2022-11-19,19
2022-12-03,20
2022-12-10,21
2022-12-17,22
2022-12-26,23
2022-12-29,24
2023-01-01,25
2023-01-07,26
2023-01-14,27
2023-01-21,28
2023-01-28,29
2023-02-04,30
2023-02-11,31
2023-02-14,32
2023-02-18,33
2023-02-25,34
2023-03-04,35
2023-03-11,36
2023-03-18,37
2023-03-25,38
2023-03-31,39
2023-04-07,40
2023-04-10,41
2023-04-15,42
2023-04-18,43
2023-04-22,44
2023-04-29,45
2023-05-06,46
